[2021-06-24T19:34:58.468] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/fc4a4d10a6e8369e9db32d5c3d7b653d456db18c8714b89e578f05dd7621c7e7daa579fce0061a5ad224c380e5f95dfd","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.02s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:34:58.483] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/7b69f35c7f500a97db99d234d26771b0d7ccf9915954834e9f6bef154446e77e76ff8306387195c2b6ebbb46cbd9b0dc","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.009s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:34:58.511] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/fc4a4d10a6e8369e9db32d5c3d7b653d456db18c8714b89e578f05dd7621c7e7daa579fce0061a5ad224c380e5f95dfd","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.004s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:35:03.480] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/7b69f35c7f500a97db99d234d26771b0d7ccf9915954834e9f6bef154446e77e76ff8306387195c2b6ebbb46cbd9b0dc","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.006s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:35:30.910] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.01s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:36:36.531] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.017s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:36:36.910] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:36:42.389] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode/8c2fa6190de0712f59b4198f4b386a21446316a05950ecf924128504d06736ec925ca91b616530e194a189c6bfe6e1f3","host":"192.168.10.12:3000","message":{"responseTime":"响应时间为0.019s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.7(0x1800072d) NetType/WIFI Language/zh_CN"}
[2021-06-24T19:36:52.059] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/login/ercode","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
[2021-06-24T19:36:52.073] [INFO] cheese - {"projectName":"koa2-tutorial","serverIp":"192.168.10.12","method":"GET","url":"/checkCode?code=b3ac5127a6e42d548a9b4ea805b9572c4cdfbea7d66f5c2ca0b70e5ad469c3e71f7ef30fe255cb16ec4bf859f8ce7a9f","host":"localhost:3000","message":{"responseTime":"响应时间为0.001s"},"referer":"http://localhost:8080/","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"}
